Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""ME_CollateralandLoan_information/input_No KTP_form-control ng-untouched ng-pristine ng-invalid""), information_noKTP)",Chrome 99.0.4844.82,Melakukan input no. KTP,,2022-03-28 12:27:20,2022-03-28 12:27:21,0.834s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:21,2022-03-28 12:27:22,1.005s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-data-autodebit.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:22,2022-03-28 12:27:23,1.121s,PASSED
"markPassed(""scenario 1 - Input data autodebit"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:23,2022-03-28 12:27:23,0.001s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:23,2022-03-28 12:27:24,1.009s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_Mutasi Rekening""))",Chrome 99.0.4844.82,Menekan tombol mutasi rekening,,2022-03-28 12:27:24,2022-03-28 12:27:24,0.512s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:24,2022-03-28 12:27:25,1.005s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-masuk-submenu-input-mutasi-rekening.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:25,2022-03-28 12:27:26,0.882s,PASSED
"markPassed(""scenario 1 - Masuk submenu input mutasi rekening"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:26,2022-03-28 12:27:26,0.000s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:26,2022-03-28 12:27:27,1.007s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_Add Mutasi Rekening""))",Chrome 99.0.4844.82,Melakukan add mutasi rekening,,2022-03-28 12:27:27,2022-03-28 12:27:28,0.460s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:28,2022-03-28 12:27:29,1.004s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-sebelum-input-data-mutasi-rekening.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:29,2022-03-28 12:27:30,0.963s,PASSED
"markPassed(""scenario 1 - sebelum input data mutasi rekening"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:30,2022-03-28 12:27:30,0.001s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:30,2022-03-28 12:27:31,1.015s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/a_Capture File_mutasirek""))",Chrome 99.0.4844.82,Menekan tombol capture mutasi rekening,,2022-03-28 12:27:31,2022-03-28 12:27:31,0.466s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:31,2022-03-28 12:27:32,1.005s,PASSED
"uploadFile(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/Capture_""), userDir + pathfinder_npwp)",Chrome 99.0.4844.82,Melakukan upload file mutasi rekening,,2022-03-28 12:27:32,2022-03-28 12:27:32,0.329s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:32,2022-03-28 12:27:33,1.011s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Mutasi Debit_form-control text-right ng-untouched ng-pristine ng-valid""), information_mutasiDebit)",Chrome 99.0.4844.82,Melakukan input mutasi debit,,2022-03-28 12:27:33,2022-03-28 12:27:34,0.779s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:34,2022-03-28 12:27:35,1.011s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Mutasi Kredit_form-control text-right ng-untouched ng-pristine ng-valid""), information_mutasiKredit)",Chrome 99.0.4844.82,Melakukan inptu mutasi kredit,,2022-03-28 12:27:35,2022-03-28 12:27:36,0.785s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:36,2022-03-28 12:27:37,1.006s,PASSED
"setText(findTestObject(""ME_CollateralandLoan_information/input_Mutasi Saldo_form-control text-right ng-untouched ng-pristine ng-valid""), information_mutasiSaldo)",Chrome 99.0.4844.82,Melakukan input mutasi saldo,,2022-03-28 12:27:37,2022-03-28 12:27:38,0.779s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:38,2022-03-28 12:27:39,1.013s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-input-data-mutasi-rekening.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:39,2022-03-28 12:27:40,0.982s,PASSED
"markPassed(""scenario 1 - input data mutasi rekening"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:40,2022-03-28 12:27:40,0.001s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:40,2022-03-28 12:27:41,1.002s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_Add""), OPTIONAL)",Chrome 99.0.4844.82,melakukan add data mutas rekening,,2022-03-28 12:27:41,2022-03-28 12:27:41,0.465s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:41,2022-03-28 12:27:42,1.002s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_View Detail_btn btn-edit ng-star-inserted""), OPTIONAL)",Chrome 99.0.4844.82,Menekan tombol edit,,2022-03-28 12:27:42,2022-03-28 12:27:43,0.446s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:43,2022-03-28 12:27:44,1.003s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/button_Save""), OPTIONAL)",Chrome 99.0.4844.82,Menekan tombol save,,2022-03-28 12:27:44,2022-03-28 12:27:44,0.449s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:44,2022-03-28 12:27:45,1.015s,PASSED
"click(findTestObject(""ME_CollateralandLoan_information/a_View Detail_mutasirekening""), OPTIONAL)",Chrome 99.0.4844.82,Melihat detail mutasi rekening,,2022-03-28 12:27:45,2022-03-28 12:27:46,0.451s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:46,2022-03-28 12:27:47,1.003s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-berhasil-mengisi-data-information.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:27:47,2022-03-28 12:27:48,1.051s,PASSED
"markPassed(""scenario 1 - Berhasil mengisi data information"")",Chrome 99.0.4844.82,,,2022-03-28 12:27:48,2022-03-28 12:27:48,0.000s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:27:48,2022-03-28 12:27:49,1.015s,PASSED
,,,,,,,
Test Cases/Sprint 4/Skenario 1/01-03-02-Transaction-AppPending-InputData-Vehicle,Chrome 99.0.4844.82,,,2022-03-28 12:27:49,2022-03-28 12:31:44,3m - 55.083s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.82,,,2022-03-28 12:27:49,2022-03-28 12:27:49,0.001s,PASSED
