Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:07:01,2022-03-28 12:07:03,2.012s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Prosesfix""))",Chrome 99.0.4844.82,Menekan tombol proses,,2022-03-28 12:07:03,2022-03-28 12:07:03,0.351s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:07:03,2022-03-28 12:07:05,2.011s,PASSED
"waitForElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/AplikasiBaruMatching""), 300)",Chrome 99.0.4844.82,Menunggu menu Matching tampil,,2022-03-28 12:07:05,2022-03-28 12:07:09,4.101s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-Masuk-aplikasi-matching.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:07:09,2022-03-28 12:07:10,0.633s,PASSED
"markPassed(""Scenario 1 - Masuk aplikasi matching"")",Chrome 99.0.4844.82,,,2022-03-28 12:07:10,2022-03-28 12:07:10,0.000s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:07:10,2022-03-28 12:07:12,2.005s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/a_Ok""))",Chrome 99.0.4844.82,Menekan tombol ok,,2022-03-28 12:07:12,2022-03-28 12:07:12,0.340s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:07:12,2022-03-28 12:07:13,1.003s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Ya""))",Chrome 99.0.4844.82,Menekan tombol ya,,2022-03-28 12:07:13,2022-03-28 12:07:14,0.508s,PASSED
delay(3),Chrome 99.0.4844.82,Melakukan delay 3 detik,,2022-03-28 12:07:14,2022-03-28 12:07:17,3.010s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-Berhasil-dilakukan-inisiasi-konsumen-baru.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:07:17,2022-03-28 12:07:18,0.947s,PASSED
"markPassed(""Scenario 1 - Berhasil dilakukan inisiasi konsumen baru"")",Chrome 99.0.4844.82,,,2022-03-28 12:07:18,2022-03-28 12:07:18,0.001s,PASSED
delay(2),Chrome 99.0.4844.82,Melakukan delay 2 detik,,2022-03-28 12:07:18,2022-03-28 12:07:20,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 4/Skenario 4/04-02-Transaction-AppPending-InputCorporate,Chrome 99.0.4844.82,,,2022-03-28 12:07:20,2022-03-28 12:11:06,3m - 46.622s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.82,,,2022-03-28 12:07:20,2022-03-28 12:07:20,0.000s,PASSED
"setText(findTestObject(""Object Repository/Input_Corporate/Input_Konsumen/input_SID Name_form-control ng-untouched ng-pristine ng-invalid""), konsumen_SID, OPTIONAL)",Chrome 99.0.4844.82,Melakukan input SID name,,2022-03-28 12:07:20,2022-03-28 12:08:18,57.588s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:08:18,2022-03-28 12:08:19,1.009s,PASSED
"scrollToElement(findTestObject(""Object Repository/Input_Corporate/Input_Konsumen/i_Fax 2_ri-arrow-right-line""), 60, OPTIONAL)",Chrome 99.0.4844.82,Melakukan scroll element,,2022-03-28 12:08:19,2022-03-28 12:08:19,0.312s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:08:19,2022-03-28 12:08:20,1.010s,PASSED
"click(findTestObject(""Object Repository/Input_Corporate/Input_Konsumen/button_Surat Keterangan Domisili""), OPTIONAL)",Chrome 99.0.4844.82,Memilih menu Surat keterangan domisili,,2022-03-28 12:08:20,2022-03-28 12:08:20,0.383s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:08:20,2022-03-28 12:08:21,1.011s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-masuk-submenu-surat-keterangan-domisili.png"")",Chrome 99.0.4844.82,Melakukan screenshoot full page,,2022-03-28 12:08:21,2022-03-28 12:08:22,0.907s,PASSED
"markPassed(""scenario 1 - Masuk submenu surat keterangan domisili"")",Chrome 99.0.4844.82,,,2022-03-28 12:08:22,2022-03-28 12:08:22,0.001s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:08:22,2022-03-28 12:08:23,1.014s,PASSED
"click(findTestObject(""Object Repository/Input_Corporate/Input_Konsumen/button_Capture_Domisili""), OPTIONAL)",Chrome 99.0.4844.82,Menekan tombil capture domisili,,2022-03-28 12:08:23,2022-03-28 12:08:24,0.381s,PASSED
delay(1),Chrome 99.0.4844.82,Melakukan delay 1 detik,,2022-03-28 12:08:24,2022-03-28 12:08:25,1.009s,PASSED
